goos: darwin
goarch: arm64
pkg: github.com/imajinyun/gofly/bench
cpu: Apple M4 Pro
BenchmarkHTTPJSONBinding/hertz-14           	  713293	      1650 ns/op	    7057 B/op	      51 allocs/op
BenchmarkHTTPMiddlewareChain/net_http-14    	  821398	      1543 ns/op	    6188 B/op	      21 allocs/op
BenchmarkHTTPMiddlewareChain/net_http-14    	  789033	      1517 ns/op	    6188 B/op	      21 allocs/op
BenchmarkHTTPMiddlewareChain/net_http-14    	  737528	      1622 ns/op	    6188 B/op	      21 allocs/op
BenchmarkHTTPMiddlewareChain/net_http-14    	  769065	      1526 ns/op	    6188 B/op	      21 allocs/op
BenchmarkHTTPMiddlewareChain/net_http-14    	  774525	      1605 ns/op	    6188 B/op	      21 allocs/op
BenchmarkHTTPMiddlewareChain/gofly-14       	  613400	      1854 ns/op	    7283 B/op	      30 allocs/op
BenchmarkHTTPMiddlewareChain/gofly-14       	  671637	      1860 ns/op	    7283 B/op	      30 allocs/op
BenchmarkHTTPMiddlewareChain/gofly-14       	  668772	      1769 ns/op	    7283 B/op	      30 allocs/op
BenchmarkHTTPMiddlewareChain/gofly-14       	  691208	      1764 ns/op	    7283 B/op	      30 allocs/op
BenchmarkHTTPMiddlewareChain/gofly-14       	  691977	      1774 ns/op	    7283 B/op	      30 allocs/op
BenchmarkHTTPMiddlewareChain/gin-14         	  867668	      1342 ns/op	    6217 B/op	      20 allocs/op
BenchmarkHTTPMiddlewareChain/gin-14         	  922866	      1409 ns/op	    6217 B/op	      20 allocs/op
BenchmarkHTTPMiddlewareChain/gin-14         	  818844	      1378 ns/op	    6217 B/op	      20 allocs/op
BenchmarkHTTPMiddlewareChain/gin-14         	  937627	      1381 ns/op	    6216 B/op	      20 allocs/op
BenchmarkHTTPMiddlewareChain/gin-14         	  882871	      1357 ns/op	    6217 B/op	      20 allocs/op
BenchmarkHTTPMiddlewareChain/echo-14        	  798076	      1475 ns/op	    6273 B/op	      26 allocs/op
BenchmarkHTTPMiddlewareChain/echo-14        	  830372	      1463 ns/op	    6273 B/op	      26 allocs/op
BenchmarkHTTPMiddlewareChain/echo-14        	  874441	      1433 ns/op	    6273 B/op	      26 allocs/op
BenchmarkHTTPMiddlewareChain/echo-14        	  747952	      1420 ns/op	    6273 B/op	      26 allocs/op
BenchmarkHTTPMiddlewareChain/echo-14        	  849717	      1451 ns/op	    6273 B/op	      26 allocs/op
BenchmarkHTTPMiddlewareChain/chi-14         	  673863	      1706 ns/op	    6562 B/op	      23 allocs/op
BenchmarkHTTPMiddlewareChain/chi-14         	  686808	      1709 ns/op	    6562 B/op	      23 allocs/op
BenchmarkHTTPMiddlewareChain/chi-14         	  707955	      1682 ns/op	    6562 B/op	      23 allocs/op
BenchmarkHTTPMiddlewareChain/chi-14         	  718116	      1853 ns/op	    6561 B/op	      23 allocs/op
BenchmarkHTTPMiddlewareChain/chi-14         	  648350	      1747 ns/op	    6562 B/op	      23 allocs/op
BenchmarkHTTPMiddlewareChain/fiber-14       	  211846	      5709 ns/op	   12024 B/op	      39 allocs/op
BenchmarkHTTPMiddlewareChain/fiber-14       	  213199	      5504 ns/op	   12016 B/op	      39 allocs/op
BenchmarkHTTPMiddlewareChain/fiber-14       	  204711	      5510 ns/op	   12000 B/op	      39 allocs/op
BenchmarkHTTPMiddlewareChain/fiber-14       	  214114	      5666 ns/op	   12021 B/op	      39 allocs/op
BenchmarkHTTPMiddlewareChain/fiber-14       	  207572	      5538 ns/op	   12006 B/op	      39 allocs/op
BenchmarkHTTPMiddlewareChain/hertz-14       	  801801	      1397 ns/op	    4751 B/op	      40 allocs/op
BenchmarkHTTPMiddlewareChain/hertz-14       	  868767	      1394 ns/op	    4751 B/op	      40 allocs/op
BenchmarkHTTPMiddlewareChain/hertz-14       	  846690	      1452 ns/op	    4751 B/op	      40 allocs/op
BenchmarkHTTPMiddlewareChain/hertz-14       	  821821	      1421 ns/op	    4751 B/op	      40 allocs/op
BenchmarkHTTPMiddlewareChain/hertz-14       	  876816	      1417 ns/op	    4751 B/op	      40 allocs/op
BenchmarkHTTPOpenAPI/disabled-14            	  693033	      2131 ns/op	    7283 B/op	      30 allocs/op
BenchmarkHTTPOpenAPI/disabled-14            	  364323	      2849 ns/op	    7281 B/op	      30 allocs/op
BenchmarkHTTPOpenAPI/disabled-14            	  460215	      3018 ns/op	    7280 B/op	      30 allocs/op
BenchmarkHTTPOpenAPI/disabled-14            	  334996	      4928 ns/op	    7280 B/op	      30 allocs/op
BenchmarkHTTPOpenAPI/disabled-14            	  425452	      2705 ns/op	    7281 B/op	      30 allocs/op
BenchmarkHTTPOpenAPI/enabled-14             	  531486	      2269 ns/op	    7282 B/op	      30 allocs/op
BenchmarkHTTPOpenAPI/enabled-14             	  543432	      2294 ns/op	    7282 B/op	      30 allocs/op
BenchmarkHTTPOpenAPI/enabled-14             	  477172	      2106 ns/op	    7283 B/op	      30 allocs/op
BenchmarkHTTPOpenAPI/enabled-14             	  607472	      2085 ns/op	    7283 B/op	      30 allocs/op
BenchmarkHTTPOpenAPI/enabled-14             	  541196	      2095 ns/op	    7283 B/op	      30 allocs/op
BenchmarkHTTPGovernance/disabled-14         	 1000000	      1021 ns/op	    1816 B/op	      20 allocs/op
BenchmarkHTTPGovernance/disabled-14         	 1000000	      1013 ns/op	    1816 B/op	      20 allocs/op
BenchmarkHTTPGovernance/disabled-14         	 1234766	       974.9 ns/op	    1816 B/op	      20 allocs/op
BenchmarkHTTPGovernance/disabled-14         	 1227015	       977.6 ns/op	    1816 B/op	      20 allocs/op
BenchmarkHTTPGovernance/disabled-14         	 1221294	       982.4 ns/op	    1816 B/op	      20 allocs/op
BenchmarkHTTPGovernance/enabled-14          	  738798	      1627 ns/op	    2920 B/op	      28 allocs/op
BenchmarkHTTPGovernance/enabled-14          	  735028	      1895 ns/op	    2920 B/op	      28 allocs/op
BenchmarkHTTPGovernance/enabled-14          	  682462	      1776 ns/op	    2920 B/op	      28 allocs/op
